,type,team_id,current_name
0,stab,670,Ксеп
1,tech,2040,Три Икса
2,creat,2065,Сирин
3,unst,2865,Немчиновка
4,stab,4032,X-promt
5,tech,5075,Somebody
6,tech,5366,23 красное
7,tech,6790,Тёмный лес
8,stab,26956,26956
9,stab,45367,Гвардия
10,tech,51253,Жмурки
11,creat,51514,Язык Чау-Чау
12,tech,58672,WarSowiak
13,tech,59456,Опять двойка
14,tech,61256,Картошка
15,tech,63278,Сергей Терентьевич
16,unst,63279,Ещё минуту
17,tech,63280,Картошка Free
18,stab,63281,Кодекс
19,tech,63282,Надо подумать
20,tech,63283,Призрак оптимизма
21,weak,63285,Helios
22,stab,63287,Mia Xapa
23,weak,63288,Сапок
24,stab,63289,Головастики
25,stab,63290,Прекрасные сознания
