,type,team_id,current_name
0,weak,227,Каррамба
1,stab,308,Номер 6
2,tech,336,Чудо в перьях
3,tech,477,Архимед
4,tech,493,Beit Grand - Аборигены
5,tech,1470,От Винта - Zodiak
6,tech,2111,Арзамас-2004
7,tech,2421,Хурммма
8,tech,2673,Британские учёные
9,creat,2937,Поддержка с воздуха
10,tech,3149,Приматы
11,tech,3883,Орден Жёлтого Дятла
12,tech,4705,9 Вал
13,tech,4885,Троянский конь
14,tech,5366,23 красное
15,tech,5370,Стратиг
16,tech,5379,Джеронимо!
17,unst,6143,Фракталы
18,tech,8015,Атараксия
19,unst,8355,Сигма Омега Дельта
20,tech,10285,Какая вам разница?
21,tech,26712,Интеллектуальные импотенты
22,tech,26789,Флагман
23,tech,27161,Хохлома
24,tech,27171,Белый шум
25,tech,27766,Дурь
26,tech,28599,Такие дела
27,creat,38362,Команда 8 мая
28,tech,38429,Уарабей
29,tech,40247,Эти две и йети
30,tech,42538,Волшебные звёзды 7
31,tech,44079,Команда
32,tech,44533,Alterego
33,tech,46770,"Ел блокнот, жевал букварь"
34,weak,48518,Сова
35,weak,48762,"Кондуктор, не жми на тормоза"
36,tech,48871,Красные рассветы
37,tech,48913,Хомо Дозяйка
38,tech,49636,Художественный университет
39,weak,49796,Жить хорошо
40,tech,50163,Ничего не пони
41,tech,50435,Эйяфьядлайёкудль
42,tech,50436,Краболовы
43,tech,50516,Маникюр для Нагльфара
44,tech,50821,Собакусъел
45,stab,50823,Зайки мои
46,weak,51198,69
47,unst,51508,Кузнецы счастья
48,tech,51510,Титаник
49,tech,51654,РЛМ
50,tech,52134,ПДЖ
51,weak,52999,Сборная солянка
52,tech,53341,Парадные ватники
53,tech,53667,Бред существования
54,stab,53714,Постмодернистское название
55,tech,53990,НИИстовые
56,tech,54511,Равновесие Нэша
57,tech,54613,Зненацька
58,tech,54851,"Дядя Фёдор, Гор и Тот"
59,tech,54861,Сборная Ставропольского края
60,creat,54889,Аннигиляция
61,weak,55015,Lorem Ipsum
62,tech,55200,Люберецкие карлицы
63,tech,55257,Timmy
64,creat,55270,МГТУ - Легионеры
65,tech,55355,Кластерный суицид в Зианчуринском районе
66,creat,56867,18+
67,tech,57219,"Команда, занявшая первое место"
68,stab,58339,Абсолютная тупость сердца
69,weak,58426,Фенер
70,weak,58586,Корпорация монстров
71,tech,58832,Пегги и дудочник
72,tech,58876,Special ape services
73,tech,59006,9 место в мире
74,creat,59010,Сенат и граждане Лестера
75,unst,59456,Опять двойка
76,creat,59495,ООО Моя оборона
77,creat,59497,Четыре буквы Ы в названии команды
78,tech,59638,Alohomora
79,weak,59641,Восточное экспрессо
80,weak,61256,Картошка
81,tech,62049,Блэд
82,tech,62701,Орнитология
83,weak,63476,Сборняк сатаняк
84,tech,64766,и все-все-все
85,tech,64782,Тёмные силы нас злобно гнетут
