,type,team_id,current_name
0,creat,2,Афина
1,creat,84,Норманны
2,tech,243,Команда Касумова
3,creat,251,Пентиум
4,tech,316,Минус один
5,stab,641,Братья
6,unst,718,Middle
7,tech,1966,Веретено
8,tech,4032,X-promt
9,stab,5858,DimTeam
10,stab,6074,Brainstorm
11,unst,6075,Слон в удаве
12,tech,6790,Тёмный лес
13,creat,6936,Хронически разумные United
14,creat,26956,Приматы
15,creat,37797,Эрудит
16,unst,38917,Кузинатра
17,tech,40904,Кьяроскуро
18,creat,41492,Бедлам
19,tech,45367,Гвардия
20,creat,49225,Ничоси
21,stab,53075,ВНИИА
22,tech,53838,Полёт Навигатора
23,tech,54613,Зненацька
24,stab,55283,Пахлава глупости
25,tech,56474,Горский винодел
26,creat,56664,Арагаст
