,type,team_id,current_name
0,creat,239,Брейнозавры
1,creat,336,Чудо в перьях
2,creat,1108,Команда
3,unst,1154,Самосвал
4,creat,2040,Три Икса
5,unst,2416,Ромашка
6,creat,2462,Мы
7,creat,3071,Мы
8,creat,3988,Шёпот разума
9,tech,4003,СО14
10,tech,4011,Гладиолус
11,stab,4032,X-promt
12,creat,4042,Легион
13,creat,4130,Как-то так
14,tech,4153,Сальвадор вДали
15,tech,4156,7Hz
16,creat,4174,Центровые
17,creat,4223,Ё++
18,creat,4237,Градус
19,creat,4313,Black Label
20,creat,4621,Ливония
21,creat,4854,Какая разница?
22,creat,4885,Троянский конь
23,creat,4952,Бес капитанов
24,unst,4985,Neo
25,creat,4988,Ход конём
26,stab,4989,Штандарт
27,stab,5078,Устать за 60 секунд
28,tech,5209,Эллада
29,creat,5611,Эго
30,tech,5613,Синяя ветка
31,creat,5908,Альдебараны
32,unst,5975,Total
33,creat,6260,Dream Team
34,creat,6364,Акулы пера
35,creat,6387,Клевер
36,unst,6432,Зима далеко!
37,creat,6488,Нелюди в белом
38,creat,6730,Клан КП
39,creat,6784,ДК им. Заратустры
40,creat,6790,Тёмный лес
41,creat,7015,Няхай!
42,creat,7233,СМИ
43,creat,7244,Утомлённые
44,creat,7567,ЁПРСТейка
45,creat,7579,МПЗТ
46,creat,8015,Атараксия
47,unst,8148,6 LITroff
48,unst,8315,Дельтаплан
49,creat,8725,МиМ
50,unst,8900,Хурма
51,creat,26712,Команда имени латвийского деда Ильи
52,creat,27193,Дубль два
53,stab,27194,LASты
54,unst,27254,Altavista
55,tech,27477,Дизель
56,unst,27481,Фактор
57,tech,27610,Абырвалг
58,creat,28103,Глухинько
59,creat,28397,Палата №3
60,creat,28587,Пахтакор
61,tech,37731,Любовь
62,unst,38164,МГТУ - Фабрика мыслей
63,unst,38362,Команда 10 апреля
64,creat,38429,Поглотитель мамаш-25. Ханзир наносит ответный удар
65,tech,38626,Методом тыка
66,unst,38682,Ведуны
67,creat,38693,Аркашина каша
68,creat,38723,XXX
69,creat,38791,Anfield
70,creat,38960,Наномозги
71,creat,39152,Лучше уж джуза
72,creat,39447,И о погоде
73,creat,40026,ЛУК
74,tech,40034,Палеография
75,creat,40245,Бурда
76,stab,40330,Обнимающие градусник
77,creat,40868,Четвёртый сын Веры Павловны
78,stab,40904,Кьяроскуро
79,tech,40952,Мальчики мадам Ивановой
80,creat,41444,Фанаберии Берии
81,tech,41816,Windows 95
82,creat,42225,Сильнее всех в EBU
83,creat,42364,Зенит
84,unst,42534,Поребрик
85,creat,42810,Неудержимые
86,creat,43151,Sheffield Tuesday
87,creat,43261,Господин Б
88,creat,43515,Анахорет
89,creat,43726,Белка-Бродяга
90,creat,43878,Ботаники
91,stab,43948,СК+
92,creat,44079,Команда
93,tech,44107,Неистовый Медоед
94,creat,44167,Felix Felicis
95,tech,44726,Катарсис
96,stab,44895,Пшеничная слеза
97,unst,45365,Бахус  crew
98,tech,45455,Poker
99,creat,45470,МГТУ - Лёлик-Эболик
100,creat,45473,Neotoma
101,creat,45519,Крейсер Боян
102,creat,45558,Могикане
103,creat,45570,Жидкость для розжига
104,tech,45690,Бледность Ленина
105,creat,45803,Дикий запад
106,unst,45996,Эвфемизмы
107,creat,45997,МС
108,creat,46274,Хемингуэй жив
109,creat,46292,Sherlocks
110,creat,46607,Борщ
111,tech,46655,Downtown
112,creat,46770,Я хочу грибы зобирати
113,stab,46903,Внучата Ильича
114,creat,46978,Пикачу
115,creat,47005,Бонобо
116,creat,47006,Авесто
117,unst,47273,Black Jack
118,stab,48095,Жадный лисёнок
119,tech,48119,BlackOut
120,tech,48123,CeS
121,creat,48124,Hangover
122,tech,48277,Недовольные каменщики
123,unst,48303,Человек-снежинка
124,creat,48364,Кот Эпидот
125,creat,48428,И тебя тоже
126,creat,48455,Talk-n-text
127,creat,48502,Боль
128,creat,48529,Наш выбор
129,unst,48546,Сплинтерстеллар
130,tech,48617,Сейлор Мунк
131,creat,48622,Магистр Йода
132,stab,48625,Плотина Канделаки
133,creat,48636,Бредоносец Котейкин
134,creat,48639,ОгоГоголь
135,weak,48728,11+
136,creat,48730,D4-A2
137,creat,48769,Моя любимая клющина
138,creat,48871,Красные рассветы
139,tech,48942,Пушные спесцы
140,creat,48985,Роза ветров
141,tech,49020,Астрологические ёжики
142,creat,49146,28 тысяч белок
143,tech,49303,Многогранник Полибия
144,creat,49442,Попытка номер ПИ
145,creat,49796,Жить хорошо
146,creat,49841,И отвага
147,creat,49945,МММ
148,tech,50162,Кирпичи-96
149,creat,50174,Красный пуфик
150,creat,50225,Джон Сноу
151,creat,50261,"Эй, Арнольд"
152,unst,50319,Городок
153,tech,50516,Маникюр для Нагльфара
154,creat,50684,Е27
155,stab,50691,Глагол
156,creat,50717,Безвольная борьба
157,creat,50720,Что делать?
158,creat,50759,Луна-парк
159,creat,50821,Собакусъел
160,creat,51058,Элара
161,creat,51059,Сибирская язва
162,creat,51198,69
163,stab,51228,Ва-банк
164,creat,51249,Два пальца в нёбо
165,tech,51253,Жмурки
166,creat,51286,Бетономешалка
167,creat,51290,Каисса
168,creat,51402,Альянс света
169,creat,51493,Олимпийский Краб
170,creat,51554,Утро в запретном лесу
171,creat,51560,Здесь был этот русский
172,unst,51584,МГТУ - Зов сов
173,creat,51597,Проба грунта
174,creat,51620,Автостопом по Прибалтике
175,creat,51630,Белые воротнички
176,creat,51632,Петергофская мыловарня имени Тайлера Дёрдена
177,unst,51654,РЛМ
178,creat,51759,Сталин печёт блины
179,creat,51777,Учись упорно
180,creat,51897,Майклфассбендер
181,creat,52023,Лучше уж вешалка
182,creat,52041,Перевал Дятлов
183,creat,52250,Сверхновая
184,creat,52260,Полуостров Получеловек
185,creat,52273,Шах и мат
186,creat,52313,Еврей и 5 коварных змей
187,stab,52537,Перекрёсток
188,creat,52619,ФФФ
189,creat,52663,Два капитана
190,creat,52940,Неестественный отбор
191,unst,52999,Сборная солянка
192,creat,53097,Беспорядочные интеллектуальные связи
193,creat,53134,Змееносцы
194,creat,53200,Выборгские антресоли
195,tech,53268,Coffee people
196,tech,53287,Спектр
197,creat,53363,Слон учёный
198,creat,53639,R2D2
199,creat,53728,Брусничный мопс
200,creat,53878,ГКЧП
201,creat,53896,Квадратный чёрный стол
202,creat,54071,Какая Зинаида?
203,creat,54075,Реситуасексулузон
204,creat,54380,42 градуса по Фаренгейту
205,creat,54382,Изи Кафка
206,creat,54517,Дичь
207,creat,54884,Лама
208,creat,54933,Дети Йети
209,creat,54934,Набор букв
210,creat,55015,Lorem Ipsum
211,creat,55270,МГТУ - Легионеры
212,unst,55282,10 баллов по шкале хохотача
213,creat,55328,Скороговорка по Фрейду
214,unst,55336,Zzyzx Rd.
215,unst,55355,"Нет, не воскрес"
216,creat,55396,Нежная нежность
217,creat,55489,Моя любимая команда
218,creat,55526,Ор переменной национальности
219,creat,55545,Татарский синдром
220,unst,55580,Квадратура тура
221,creat,55647,Доктор ВОМ
222,creat,55655,Во вторник сможем
223,creat,55675,Советская инквизиция
224,creat,55679,Над всей Испанией безоблачное небо
225,creat,55681,Подлива
226,creat,55689,Члены Партии им. Фрейда и Папка Шоколадка
227,creat,55691,Нарпёсики
228,creat,55713,Times New Roman
