,type,team_id,current_name
0,tech,129,Эмси-Эмси
1,tech,130,Столичные лобстеры
2,unst,167,Опухлики
3,tech,271,Саша и медведи
4,tech,299,Команда Гусейнова
5,tech,336,Чудо в перьях
6,tech,365,Вестимо
7,tech,477,Архимед
8,tech,482,Нимлот
9,weak,667,Северный олень
10,tech,1966,Веретено
11,tech,2377,Семь пядей
12,weak,2919,Чёрный мерин
13,weak,3146,Авось
14,tech,3166,Понты Пилата
15,stab,3213,Дикие бозоны Хиггса
16,creat,3217,Джон и Катапульта
17,creat,3269,Всё дело в перце
18,tech,3476,Псевдопептиды
19,stab,3522,Primus inter pares
20,creat,3586,Noname
21,unst,3639,Захидный полюс
22,stab,3694,Эльфы
23,tech,3950,Мы-6
24,creat,4371,Солярис
25,stab,4711,Ы
26,tech,4952,Бес капитанов
27,tech,5075,Somebody
28,unst,5242,Абзац
29,tech,5366,23 красное
30,tech,6075,Слон в удаве
31,tech,6790,Тёмный лес
32,tech,6874,Церебрум
33,unst,6967,Комментарии Асгарда
34,tech,8015,Атараксия
35,tech,8327,Drakony Jmovirnosti
36,tech,8328,Finntrolls
37,tech,8329,Песиголовцы
38,weak,10401,Ёлки на горке
39,tech,26705,Вагон героев
40,tech,26712,Болгарское Белое братство
41,tech,26956,Приматы
42,unst,27119,Godspeed you! Black Vyacheslav
43,tech,27130,Тануна Х
44,tech,27171,Белый шум
45,stab,27196,Эпик Фейл
46,tech,27260,Герцоги мира
47,tech,27522,Жареные гвозди
48,tech,27766,Дурь
49,stab,28216,Была не была
50,tech,37690,Вперёд
51,tech,37736,Наобум
52,creat,37770,ТВИТЛЮ
53,unst,38429,Команда пьёт
54,stab,38639,Однако
55,unst,38693,Аркашина каша
56,creat,39332,К-2
57,tech,41538,Кира Корпи
58,tech,41578,ГРМ-33
59,unst,42167,Шесть пик
60,stab,42469,X-Ray бросает пить
61,creat,42483,Пахом Пихай
62,tech,42509,Альтаир
63,unst,42558,Savage
64,tech,43456,Donkey Hot
65,tech,44104,Альтаир
66,tech,44212,Зелёный индийский
67,creat,44284,КИТы
68,tech,45470,МГТУ - Мотыга
69,creat,45521,Радио Маяк
70,tech,45551,Станочницы
71,stab,45556,Рабочее название
72,tech,45633,ЧЗ
73,tech,46022,Пятница
74,tech,46162,Netpeak Agency
75,stab,46188,Хливкие шорьки
76,tech,46356,Jus Naturale
77,tech,47239,Северный гамбит
78,tech,48062,Уже да
79,tech,48277,Недовольные каменщики
80,tech,48973,У доски
81,creat,49124,Гравицапа
82,tech,49636,Художественный университет
83,tech,49682,Силовой элемент бампера
84,tech,49814,Леонардо
85,tech,49841,И отвага
86,tech,49888,Палладины
87,stab,49972,Буй
88,tech,50000,Алые паруса
89,tech,50088,White eagles
90,tech,50163,Ничего не пони
91,tech,50186,Подозрительные пассажиры
92,tech,50319,Городок
93,tech,50436,Крабоумие и навага
94,stab,50517,Команда была стоять!
95,tech,50787,Руки Crew
96,tech,50821,Собакусъел
97,tech,50823,Зайки мои
98,tech,51253,Жмурки
99,stab,51276,Жжёный хлебушек
100,stab,51290,Каисса
101,creat,51323,Пони в законе
102,tech,51508,Кузнецы счастья
103,tech,51600,Лидсингер дома и в гостях
104,tech,51654,РЛМ
105,tech,51739,Зоопарк
106,tech,52134,ПДЖ
107,stab,52250,Сверхновая
108,tech,52275,Предпоследние
109,unst,52856,Сова бьен
110,tech,53106,Кровавые пипидастры
111,tech,53151,Электрогенератор
112,tech,53572,Эжен и ребята
113,unst,53714,Постмодернистское название
114,tech,53868,301
115,creat,53877,Бешеная ладья
116,tech,54327,Я и диод
117,creat,54884,Лама
118,tech,55098,Наш вариант лучше
119,tech,55200,Люберецкие карлицы
120,tech,55257,Timmy
121,creat,55510,Волобуев меч
122,creat,55847,6 негритят
123,tech,56116,"Человек, который был ПН начинающимся в СБ"
124,tech,56377,Четырнадцатый этаж
125,stab,56747,Скоро
126,tech,56757,Мёртвая голова
127,stab,57024,Вжух
128,tech,57278,Ёрш с красным перцем внутримышечно
129,tech,57404,Невыносимая лёгкость правильных поступков
130,stab,57997,Формула 409
131,tech,58061,Ветер в парус
132,stab,58101,Гдыня
133,creat,58380,Олег с мышами
134,tech,58400,Отнять и поделить
135,tech,58426,Фенер
136,weak,58745,Карпы Diem
137,tech,58865,Cherchez la Panda
138,unst,59082,Терпение и труд всё
139,unst,59338,Игра на инженервах
140,weak,59378,Нибиру
141,tech,59419,Кудрявчик и Вахривка
142,tech,59482,МГТУ - Машина Хайпа
143,tech,59627,Нюанс
144,tech,59638,Alohomora
145,tech,59652,Логика где-то рядом
146,tech,59718,Два Димона
147,unst,59725,Уныло
148,stab,59738,КВН
149,tech,59751,Старик и мойры
150,tech,59759,Ежата с бандурочками
151,stab,59764,Dark Side
152,tech,59769,Agroband
153,tech,59770,Симбиоз
154,weak,59806,Сара Моисеевна
155,stab,59807,Пива нет
156,stab,59808,5
157,weak,59812,Юзлесс
158,creat,59826,Кино из одуванчиков
159,creat,59854,4-33
