,type,team_id,current_name
0,stab,5723,Мантисса
1,stab,6856,Зубы Суареса
2,stab,7039,Aurora Borealis
3,tech,44834,Быстрый нейтрон
4,tech,46312,Тоже вариант
5,creat,46313,Быстрые бобры
6,unst,46826,Стрелы Афины
7,tech,47267,Навигатор
8,stab,48310,Грибоедов
9,tech,50883,Вспомнить всё
10,stab,51585,Теория большого слива
11,tech,53022,Солянка
12,stab,53651,СФ НИКИЭТ
13,tech,53652,Верба
14,stab,55213,Do It Again
15,stab,55439,Триада
16,stab,56055,УрТК
17,tech,57658,В поисках логики
18,stab,57896,Вечёрка
19,weak,59408,Экс мозаика
20,tech,59409,Кех машина
21,stab,59410,В поле зрения
