,type,team_id,current_name
0,tech,41956,Абажур Ожегова
1,stab,41970,Up
2,stab,42018,Дрю-Crew
3,tech,50710,Свердловск
4,tech,50827,БеломорКанал
5,stab,50949,Восточный экспресс 2
6,tech,54168,Плюгавая лимита ищет работу в Москве
7,tech,54200,Парадокс Губнова
8,unst,54207,Геном Ньютона
9,tech,54253,Сегодня по шкале Рихтера
10,tech,58081,"Трое в лодке, не считая ещё трёх"
11,creat,58277,Команда Телезрителей
12,stab,58282,Омерзительная восьмёрка
13,tech,58299,Равнина Ильма
14,tech,58305,Дело в шляпе
15,tech,61625,Допинг скандал
16,stab,62686,Играем на два полцарства
17,creat,63662,Not Today
18,tech,63663,ВШГА United
19,stab,63664,Антинеуважение
20,creat,63665,54-ая
21,tech,63666,Форс-миноры
22,creat,63667,Вдоль ночных дорог
23,tech,63668,Беспочвенные обвинения
24,tech,63669,Финальный штрих
25,creat,63670,Фемидизм
26,stab,63671,Ландауны
27,tech,63672,Колени оленя
28,stab,63673,Stone eightland
29,creat,63674,Lawyers in law
30,tech,63675,ЗАТО
31,stab,63676,ТСЭ
