,type,team_id,current_name
0,creat,185,Малиновый Рлайх
1,creat,353,Второе дыхание
2,stab,3149,Синий Синий Плиний
3,stab,6513,Terra Incognita
4,stab,7428,Знать!
5,unst,26986,ДВД
6,stab,28599,Такие дела
7,unst,37751,Веербро
8,stab,38038,Похоть и уныние
9,stab,47073,По Фрейду
10,tech,48535,Многосольные огурчики
11,stab,49106,НДТ
12,stab,49474,УлГТУ
13,tech,49998,БеНЦ
14,stab,51221,Бобры
15,tech,51787,Аксиома
16,tech,53580,Сборная сборная
17,tech,53582,Ассорти
18,stab,59580,И остались голодными
19,stab,60853,Рандом
20,tech,61058,Анестезия Заворотнюк
21,tech,61059,Бабушка Бонифация
22,stab,61060,В своём уме
23,stab,61062,Секстет Промискуитета
24,stab,61063,Хатулим
