,type,team_id,current_name
0,tech,1921,Дружба
1,stab,2051,Напряжены у всех на глазах
2,creat,2421,МММ
3,creat,2826,6 из 45
4,unst,2855,Оберон
5,creat,5384,Альтернатива
6,stab,8034,Махнёмся кристаллами
7,tech,8453,Фемида
8,tech,8647,Разрез-1
9,tech,8649,РМЗ
10,tech,8663,КВВК
11,tech,8809,Испанская инквизиция
12,creat,8900,Хурма
13,tech,26864,18+Котики
14,tech,27851,Академия 16
15,stab,27863,Парадокс
16,tech,39152,На своей волне
17,tech,40857,ИГЛЗ
18,tech,42538,Волшебные звёзды 7
19,unst,42849,Кот Шрёдингера
20,stab,42982,Абырвалг
21,weak,42985,ИрБис
22,creat,43261,Господин Б
23,tech,45762,Айконом
24,tech,46028,Почти не думаем
25,tech,46770,"Ел блокнот, жевал букварь"
26,tech,48529,Наш выбор
27,tech,48617,Сейлор Мунк
28,tech,48625,Плотина Канделаки
29,tech,48636,Бредоносец Котейкин
30,tech,48639,ОгоГоголь
31,tech,48985,Роза ветров
32,tech,49020,Астрологические ёжики
33,tech,49151,Жёлтая подводная лодка
34,tech,49152,Универс
35,stab,49201,Условно философы
36,tech,49209,100500
37,tech,49541,ZOG
38,unst,50261,"Эй, Арнольд"
39,creat,50319,Городок
40,tech,51290,Каисса
41,tech,51759,Сталин печёт блины
42,tech,52023,КЛТНН
43,tech,52252,Миллениум
44,stab,52260,Полуостров Получеловек
45,tech,52720,ЕКБС
46,tech,52722,Девять и три четверти
47,stab,52725,Мы
48,stab,52734,Шанс
49,tech,52940,Неестественный отбор
50,tech,53018,Центр циклона
51,stab,53738,Подушка Малевича
52,stab,54070,Три процента
53,unst,55283,Пахлава глупости
54,tech,55457,Кайрос
55,tech,55526,Ор переменной национальности
56,tech,55924,Мятый всадник Апокалипсиса
57,tech,55933,Пингwinы 2.0
58,tech,55934,Ежи ИЖа
59,tech,56072,Алинкин парк
60,weak,56280,Десятое королевство
61,weak,56281,Орлы десятого Легиона
62,tech,56282,1984 франка по Фаренгейту
63,stab,56283,Чаёк с печеньками
64,tech,56290,Акуна Матата
65,weak,56293,Слаще не бывает
66,weak,56294,Сибирские бобры
67,weak,56295,Ворошиловские стрелки
68,weak,57755,Откуда мне знать?
69,stab,57756,Алхимики и масоны
70,tech,57843,11 валенков
71,tech,59419,Кудрявчик и Вахривка
72,tech,59420,Полураспад лития
73,tech,59421,Тулупов 20!8
74,tech,59422,Таршиш
75,unst,59488,Арьергард в опасности
76,tech,59497,Четыре буквы Ы в названии команды
77,tech,59720,Мамонты
78,tech,59743,Решающее слово
79,unst,60015,Грефневая Кафка
80,tech,60050,Антихайп
81,stab,60732,Стеклоtardы
82,stab,60733,Новое поколение
83,weak,60734,Пингwinы 2.0 - альфа
84,stab,60735,Пингwinы 2.0 - бета
85,tech,60737,Зоопарк абсурда
86,weak,60739,Герои нашего времени
87,stab,60740,ПО беда
88,weak,60741,СССР
89,weak,60742,Ноунеймы
90,weak,60743,Veritas
