,type,team_id,current_name
0,tech,123,Артефакт
1,creat,199,Дзета
2,creat,5444,Эйфью
3,tech,37923,С блэк-джеком
4,tech,38317,EcoSapiens
5,creat,38322,ХЗИВ
6,creat,40043,Summa Technologiae
7,unst,44729,317 кВт
8,tech,44731,Падшие редуцированные
9,creat,45570,Жидкость для розжига
10,creat,45690,Бледность Ленина
11,stab,45691,Follow Yellow маршмеллоу
12,tech,48316,Вадим Казаченко
13,tech,48369,Единогласно!
14,tech,48392,Абсурдоперевод
15,tech,48428,И тебя тоже
16,unst,48545,149
17,creat,48546,Вау! Сигнал
18,tech,50348,Маеш рацыю
19,stab,51777,Учись упорно
20,stab,51850,Покупание прекрасного коньяка
21,stab,54380,42 градуса по Фаренгейту
22,tech,55676,Мирзализаде
23,tech,57146,ШуфляДКа
24,unst,57824,Джин Толик
25,unst,58832,Пегги и дудочник
26,tech,59197,Севрюга по 42
27,creat,59463,Nuestra senora de la Armada Primera
28,creat,59481,Салат со Сникерсом
29,creat,59505,Где нас нет
30,stab,59514,Клёк
31,unst,59626,Капитан Кек Воробей
32,creat,59627,Нюанс
33,weak,59840,Нарды при свече
34,creat,59881,Пластмассовый мир 2
35,creat,60011,"Нет, Вася, мы не назовём так команду"
36,unst,60101,Чужой в иллюминаторе
37,stab,60102,Товарищи Ньютона
38,tech,60104,Untitled Team
