,type,team_id,current_name
0,stab,2,Афина
1,unst,87,Форум
2,creat,101,Славяне
3,stab,200,ОНУ им. Мечникова
4,tech,353,Второе дыхание
5,tech,405,Зелёный трамвай
6,tech,493,Beit Grand - Аборигены
7,stab,510,Импульс
8,tech,728,КН
9,tech,791,Дилемма
10,stab,815,Брюссельские
11,unst,1030,Сборная Бутана
12,tech,1223,Ва-банк
13,stab,1510,Шулер
14,unst,1752,5 елемент
15,tech,1866,Левый берег
16,tech,2111,Арзамас-2004
17,unst,2318,Алтын Асыр
18,creat,2462,Мы
19,stab,2765,Оазис
20,creat,2865,Немчиновка
21,unst,2909,Мистерия
22,creat,3133,Это не Механизм реакции
23,tech,3156,Команда Антона Мигая
24,tech,3173,Пуззли
25,creat,3219,MIX
26,creat,3356,Питейные жилеты
27,stab,3465,Команда Алхазова
28,unst,3987,Плохие парни
29,tech,3993,Международец
30,tech,4050,Лузеро
31,tech,4107,Антарес
32,unst,4109,Плохая команда
33,unst,4146,Пи квадрат
34,unst,4156,7Hz
35,tech,4228,Выпь
36,tech,4988,Ход конём
37,tech,5075,Somebody
38,stab,5093,ПЛП
39,unst,5141,НУИХ
40,tech,5350,Импульс
41,stab,5384,"6 по 0,5"
42,stab,5572,Братья по разуму
43,tech,5667,Не придумали
44,unst,5668,Хаддерсфилд
45,creat,5842,КиПЛ
46,creat,5898,Тангородрим
47,unst,6048,Neglinka BP
48,tech,6055,ДНК
49,stab,6074,Brainstorm
50,stab,6075,Слон в удаве
51,stab,6088,Марклар
52,creat,6178,Карт бланш
53,tech,6481,Симулируем сарказм
54,tech,6488,Нелюди в белом
55,creat,6513,Terra Incognita
56,tech,6521,Эверест
57,tech,6790,Тёмный лес
58,creat,6810,Вёска
59,tech,6908,Команда имени Великого Шушпанчика
60,tech,6987,Ктулху
61,tech,7567,ЁПРСТейка
62,unst,7579,МПЗТ
63,unst,7740,Х
64,unst,7896,По фигу
65,stab,7931,Лимонад
66,unst,8174,Много гитик
67,stab,8357,Монахи
68,tech,8424,Виталия
69,tech,8723,Дети Эйлера
70,tech,10152,"Сами пишите правильные ответы, у меня лапки"
71,unst,10364,Дядька Petrick
72,tech,26656,"Ни стыда, ни совести"
73,stab,26660,Лыжню!
74,tech,26712,Межнациональная рознь
75,unst,26956,Тайна пива
76,tech,27075,По справедливости
77,stab,27219,Детский сад
78,creat,27481,Фактор
79,unst,27522,Жареные гвозди
80,tech,27684,Brain Art
81,unst,27839,Оптимисты
82,stab,28154,X-Com
83,stab,28458,Nabucodonosor
84,stab,28474,Сфинкс
85,stab,28587,Пахтакор
86,tech,28599,Такие дела
87,unst,28748,Команда
88,stab,35826,18+
89,stab,37619,Energy
90,tech,37762,Сам-Бука
91,tech,37797,Эрудит
92,stab,38011,Имитируем сарказм
93,unst,38064,Памяти Пауля
94,tech,38400,Эффект Паули
95,stab,38609,Сборная села Тупино
96,tech,38791,Anfield
97,tech,38816,Whiplash
98,tech,39152,На своей волне
99,tech,40024,Левиафан
100,tech,40030,Натори
101,stab,40038,Прометей
102,stab,40057,Nevada
103,tech,40150,Ума не надо
104,tech,40195,White and nerdy
105,creat,40227,Крылья
106,unst,40904,Кьяроскуро
107,unst,40931,Здоровенный Я
108,tech,41047,Комочки в кефире
109,creat,41259,Ничто! Нигде! Никогда!
110,tech,41350,Go West
111,tech,41420,Скидельские бураки
112,tech,41492,Бедлам
113,stab,41527,ААА Удачливые пегасы
114,tech,41816,Windows 95
115,tech,42045,Папирус
116,tech,42100,Резко континентальные
117,tech,42358,Психея
118,stab,42364,Зенит
119,creat,42375,Venceremos
120,tech,42509,Альтаир
121,tech,42546,Ряды Фурье
122,tech,42558,Savage
123,tech,42637,Левая грудь Анджелины Джоли
124,tech,42645,НТЦ
125,stab,42822,Fossores
126,stab,42909,Прометей
127,tech,43300,Мамонтлошечка
128,stab,43600,Бакинская Жемчужина
129,stab,43656,Сонечко
130,tech,43686,Верните ять
131,stab,44012,Зигзаг
132,tech,44104,Альтаир
133,tech,44212,Зелёный индийский
134,tech,44533,Alterego
135,tech,45174,София
136,stab,45367,Эрудиты. Forever Young
137,stab,45409,Сельдь
138,creat,45419,Бис
139,tech,45455,Poker
140,tech,45504,Есть план
141,tech,45517,Ацефал-93
142,tech,45521,Радио Маяк
143,tech,45560,Тропик Рака
144,tech,45570,Жидкость для розжига
145,stab,45599,Jazz
146,tech,45688,Стокгольмский синдром
147,tech,45690,Бледность Ленина
148,tech,45807,Тайна перевала котика с боку на бок
149,tech,46022,Пятница
150,weak,46052,USB
151,stab,46096,Дизель
152,stab,46107,Winterhell
153,stab,46218,Fertis
154,tech,46319,Квазар
155,stab,46356,Jus Naturale
156,tech,46381,Разведка боём
157,stab,46482,Radio Pirates
158,creat,46607,Борщ
159,tech,46627,Починяем примус
160,stab,46686,Совет филят
161,stab,46894,Магистраль
162,weak,47012,Дитетра
163,tech,47113,Prunus Armeniaca
164,tech,47116,К-93
165,stab,47228,Челюсть питекантропа
166,stab,47251,Орден Феникса
167,stab,47273,Black Jack
168,stab,47282,Navigator
169,tech,47284,Цианид калия
170,tech,47306,Quizofrenics
171,creat,48054,Budlight
172,stab,48117,Who run the world
173,tech,48118,Джойс Дивижн
174,tech,48119,BlackOut
175,unst,48277,Недовольные каменщики
176,stab,48361,Мы подумаем
177,tech,48387,Госпиталь Святого Локи
178,tech,48428,И тебя тоже
179,stab,48470,Колхоз дружба
180,tech,48518,Сова
181,tech,48583,Гервасий и Протасий
182,creat,48762,Но это не точно
183,tech,48871,Красные рассветы
184,unst,48913,Кизяк
185,tech,48970,Рыба-мяч
186,creat,49106,НДТ
187,tech,49146,Дупло порока
188,tech,49225,Ничоси
189,unst,49392,Манулы
190,tech,49454,ТМИ
191,tech,49682,Силовой элемент бампера
192,stab,49729,Пояс Ориона
193,stab,49799,Фундук Маяк
194,unst,49800,Премия Дарвина
195,tech,49876,Недопсихологи
196,tech,49888,Палладины
197,creat,49998,Бермуды
198,tech,50000,Алые паруса
199,tech,50088,White eagles
200,stab,50163,Ничего не пони
201,tech,50186,Подозрительные пассажиры
202,stab,50198,Metal X
203,tech,50225,Джон Сноу
204,creat,50348,Маеш рацыю
205,tech,50436,Краболовы
206,stab,50747,Это вам не это
207,tech,50794,Сборная имени Чапаева
208,tech,50894,Сборная
209,tech,50936,Связь без брака
210,weak,50973,Абсолют
211,stab,51009,Forta
212,stab,51059,Сибирская язва
213,unst,51069,Трудовые резервы
214,tech,51260,Декрет о небе
215,tech,51317,Алёна и ребята
216,tech,51451,Овечка в доле
217,stab,51471,BBQ in the Park
218,tech,51484,Палка-отвечалка
219,tech,51543,Насмарку
220,tech,51560,Здесь был этот русский
221,stab,51620,Автостопом по Прибалтике
222,stab,51630,Белые воротнички
223,tech,51641,На Валерином Горбу
224,tech,51654,РЛМ
225,tech,51680,Синдикат злых оборотней
226,creat,51739,Зоопарк
227,weak,51767,Король орёл
228,tech,51861,Ерундиты
229,tech,51996,Немного математиков
230,tech,52023,КЛТНН
231,tech,52041,Перевал Дятлов
232,tech,52250,Сверхновая
233,unst,52399,Омуль и жмых
234,stab,52567,Ушастые тюлени
235,tech,52675,И пусть никто не уйдёт обиженный
236,tech,52940,Неестественный отбор
237,tech,52952,Сборная Сарова
238,tech,52999,Сборная солянка
239,weak,53031,Самураи
240,tech,53075,ВНИИА
241,creat,53205,Чаадаева 3
242,tech,53341,Парадные ватники
243,tech,53409,Angry Beavers
244,tech,53440,Подозрительные лица
245,creat,53456,Социон
246,creat,53485,МТС
247,tech,53577,Корону поправь!
248,stab,53707,Мы не знаем
249,creat,53718,Кучка Армстронгов
250,creat,53835,Pro crastinus
251,tech,53877,Бешеная ладья
252,tech,53909,Бритва экстрасенсов
253,unst,54075,Реситуасексулузон
254,creat,54094,Активная зона Удомля
255,tech,54238,Божественная длань
256,tech,54373,Апсны
257,stab,54380,42 градуса по Фаренгейту
258,tech,54382,Изи Кафка
259,stab,54414,Люмос
260,creat,54457,2MIX
261,tech,54468,Когтевран
262,tech,54470,Иллюминаты
263,unst,54605,Фон в норме
264,tech,54613,Зненацька
265,stab,54714,Охотники за разумом
266,tech,54718,Тяжёлый случай
267,stab,54720,Матфактор
268,tech,54774,Ведь недаром
269,tech,54861,Сборная Ставропольского края
270,tech,54879,ТАИ
271,unst,54880,Неслучайные люди
272,tech,54883,КПП
273,tech,54884,Лама
274,stab,54933,Дети Йети
275,tech,54934,Набор букв
276,tech,55015,Lorem Ipsum
277,tech,55098,Наш вариант лучше
278,tech,55171,Меический Вей
279,unst,55219,Бобры
280,creat,55355,Бекчинтаев Айдар Маратович
281,tech,55357,3-4 ЕВС
282,creat,55424,Мафия бессмертна
283,stab,55453,Ибис
284,stab,55499,Ad Astra
285,stab,55520,ДДР-6
286,stab,55530,Динозавры
287,stab,55546,Устрой квартирник у реки
288,tech,55555,Р
289,stab,55585,Сосиска в тесте Тьюринга
290,tech,55675,Советская инквизиция
291,stab,55681,Подлива
292,stab,55686,Валидол внутривенно
293,creat,55815,Бархатный Сазон
294,creat,55867,Уд ежа
295,tech,55924,Мятый всадник Апокалипсиса
296,creat,55935,Экономная маркиза
297,stab,55957,Smart
298,unst,56018,ВШЭстером
299,stab,56019,Перспективные
300,stab,56116,"Д.Хауз,или Как я перестал хромать и полюбилВикодин"
301,tech,56125,Ареола
302,tech,56129,Неправильные пчёлы
303,stab,56137,Gravity Falls
304,stab,56187,Содружество
305,stab,56307,Буцефал
306,weak,56359,Любители чайка
307,stab,56373,Кубалибра
308,tech,56423,Всем всё равно
309,stab,56424,Мёртвые души
310,tech,56464,Гернгутер Герценштубе
311,stab,56633,Красный дырокол
312,tech,56664,Арагаст
313,tech,56747,Скоро
314,creat,56758,Эрзац Форзац
315,creat,56797,Команда Натига Салахова
316,stab,56808,Выпьем за Ратустра
317,tech,56813,Жмых
318,tech,57067,Гобелены с оленями
319,unst,57099,Агата в кресле
320,tech,57149,Американский мальчик Дарвин
321,tech,57152,Борода Вассермана
322,stab,57249,Однажды в январе
323,stab,57338,Любимчики Аспергера
324,tech,57389,Огонёк
325,tech,57404,Невыносимая лёгкость Рубиновых Бендер
326,stab,57553,Те самые 2
327,weak,57650,Cockroaches
328,stab,57699,Джон Ленин
329,tech,57758,Сливки-ленивки
330,stab,57793,Нога в ногу
331,stab,57825,ГПЛХО
332,stab,57876,Боевые Хомяки
333,stab,58016,Кот Баскервилей
334,stab,58025,"Карты, простынь, два носка"
335,stab,58044,Парадокс
336,tech,58077,Команда Бората Сагдиева
