,type,team_id,current_name
0,tech,2,Афина
1,tech,47,Снарк
2,tech,239,Брейнозавры
3,tech,312,Социал-демократы
4,weak,353,Второе дыхание
5,tech,435,МАСКА
6,unst,641,Братья
7,stab,670,Ксеп
8,tech,948,Мудрый Гудвин
9,tech,1030,Нам не критично
10,unst,1738,Форс-мажор
11,tech,1752,5 елемент
12,unst,1952,Дилетанты
13,weak,2115,Пси-фактор
14,creat,2909,Мистерия
15,stab,3133,Механизм реакции
16,tech,3269,Всё дело в перце
17,weak,4631,Animals
18,tech,4718,Inside
19,weak,5075,Somebody
20,tech,5366,23 красное
21,creat,5370,Стратиг
22,unst,5444,Эйфью
23,tech,5898,Тангородрим
24,tech,6647,Одиссея
25,tech,6767,Барокамера-люкс
26,tech,6790,Тёмный лес
27,stab,6936,Хронически разумные United
28,creat,7567,ЁПРСТейка
29,creat,7864,Одушевлённые аэросани
30,weak,8723,Дети Эйлера
31,tech,26705,Вагон героев
32,tech,27177,Призраки Коши
33,creat,27254,Altavista
34,tech,27269,А на вазе Гектор
35,tech,27285,Команда имени Фета
36,weak,27481,Фактор
37,creat,28458,Nabucodonosor
38,unst,28599,Такие дела
39,tech,37690,Вперёд
40,weak,38011,Имитируем сарказм
41,weak,38199,ИерЕхон
42,tech,38722,Хайвмайнд
43,weak,39405,Прекрасная прекрасность
44,weak,40026,ЛУК
45,stab,40038,Прометей
46,unst,41832,Деза
47,weak,42364,Зенит
48,tech,42538,Волшебные звёзды 7
49,stab,42558,Savage
50,tech,43002,Опережая мысли
51,creat,43486,Хомяки
52,tech,43521,Барышни и хулиганы
53,weak,44104,Альтаир
54,tech,44107,Триумфальная лапка
55,tech,44527,Баги Мёбиуса
56,creat,45365,Бахус  crew
57,weak,45397,Mysterium Magnum
58,weak,45517,Ацефал-93
59,weak,45777,VIP
60,creat,45778,Ведро
61,tech,46356,Jus Naturale
62,weak,46951,Демоны Максвелла
63,weak,46978,Пикачу
64,creat,47306,Quizofrenics
65,weak,48041,Эсквайры
66,weak,48123,CeS
67,unst,48124,Hangover
68,weak,48361,Мы подумаем
69,weak,48502,Сучья
70,weak,48545,149
71,weak,48546,Вау! Сигнал
72,weak,48985,Роза ветров
73,weak,48997,Уэллс Фарго
74,tech,49124,IPAшечка и вертолётик
75,weak,49284,13 сектор
76,weak,49814,Леонардо
77,unst,49824,Капибарские замашки
78,tech,49984,Божоле нуво
79,weak,50174,Красный пуфик
80,tech,50186,Подозрительные пассажиры
81,weak,50747,Это вам не это
82,tech,50821,Собакусъел
83,tech,51253,Жмурки
84,weak,51345,Сборная Ямайки по
85,weak,51400,Онлайн
86,unst,51461,Корпрусариум on tour
87,tech,51600,Лидсингер дома и в гостях
88,weak,51620,Автостопом по Прибалтике
89,tech,51759,Сталин печёт блины
90,weak,51774,Горе от ума
91,weak,52023,КЛТНН
92,tech,52675,И пусть никто не уйдёт обиженный
93,weak,53063,Сергиев Посад
94,tech,53417,Фернанотехнологии
95,weak,53707,Мы не знаем
96,tech,53904,White Eaglets
97,weak,54557,Плюс 1
98,creat,54719,Растяжение удовольствия
99,tech,54774,"Башкиры лучше, чем"
100,weak,54861,Сборная Ставропольского края
101,tech,55270,МГТУ - Легионеры
102,tech,55293,Время пиджаков
103,tech,55528,Самая маленькая команда
104,weak,55603,Тихий Гон
105,weak,55686,Валидол внутривенно
106,tech,55813,Техно Ложка
107,weak,55924,Мятый всадник Апокалипсиса
108,tech,56747,Скоро
109,weak,56867,18+
110,stab,57024,Вжух
111,weak,57165,Неспортивное поведение
112,weak,57732,Не наш пакет
113,weak,57900,Kunteynir
114,weak,58059,Бесполезные ископаемые
115,weak,58124,Четыре плюс ноль
116,weak,58216,Парамарибо
117,weak,58827,Неуместные шутки
118,weak,58913,Могли бы дома сидеть
119,weak,59000,Криминальное пиво
120,weak,59036,Где Маша не загорала
121,weak,59197,Севрюга по 42
122,tech,59218,Sich
123,weak,59319,Литровый двигатель
124,weak,59399,Сага
125,tech,59407,Дэмгуд Черрипай
126,creat,59415,Нурофен
127,tech,59419,Кудрявчик и Вахривка
128,tech,59439,Валерий Выквыртыргыргын
129,unst,59443,Говядина по-тарковски
130,weak,59450,ХД
131,creat,59480,Культорологическая матрица Тромпенаарса-Тёрнера
