,type,team_id,current_name
0,creat,45803,Дикий запад
1,tech,46274,Хемингуэй жив
2,tech,48617,Сейлор Мунк
3,tech,48622,Магистр Йода
4,stab,48625,Плотина Канделаки
5,tech,49020,Астрологические ёжики
6,tech,50720,Что делать?
7,stab,50759,Луна-парк
8,tech,51759,Сталин печёт блины
9,tech,52940,Неестественный отбор
10,creat,53134,Змееносцы
11,tech,55725,Обитатели тихого холма
12,tech,55726,Леди Мамбет
13,tech,55924,Мятый всадник Апокалипсиса
14,tech,56072,Алинкин парк
15,stab,56500,Выход есть
16,stab,58245,Петрович по понедельникам
17,stab,59419,Кудрявчик и Вахривка
18,tech,59420,Полураспад лития
19,stab,59421,Крестец Титанозавра
20,tech,59422,Школа интеллектуального юмора DJ-ея $mash-а
21,stab,59488,Арьергард в опасности
22,stab,59497,Четыре буквы Ы в названии команды
23,stab,60045,Вороны Одина
24,stab,60050,Антихайп
25,tech,63266,Интеллектуальные атлеты из Бурятии
26,stab,63750,РАДи Омска
27,tech,63752,Бичи в кустах
28,stab,63753,Гражданская оборона
29,stab,63754,Milky way
