,type,team_id,current_name
0,unst,197,Шалтай-Болтай
1,creat,312,Социал-демократы
2,stab,317,Авось
3,unst,318,Апрель
4,tech,2376,Мы
5,tech,2673,Британские учёные
6,tech,27161,Хохлома
7,tech,40961,Неужели
8,creat,44651,Пушистики
9,tech,47425,Полёт нормальный
10,tech,49419,РСМ
11,tech,51320,Нечёткая логика
12,tech,51680,Синдикат злых оборотней
13,tech,53216,Чукотский дровосек
14,tech,54414,Люмос
15,tech,54475,Сава-Мава
16,stab,55270,МГТУ - Легионеры
17,unst,56775,Орвышегор
18,weak,57056,Грозы
19,stab,58354,Монти Пайтон
20,weak,58738,Просто поесть
21,creat,59320,Сандали Даля
22,tech,60225,Мои маленькие морковочки
23,creat,62076,Шесть извилин
24,tech,62184,АМЕ
25,weak,62185,Лицей
26,stab,62187,Рататуй
27,stab,62191,Оффшор
28,weak,63082,Побочный эффект
29,weak,63302,Жёлтый кек
