,type,team_id,current_name
0,creat,13,Дельта фи
1,creat,39,Пилигрим
2,creat,66,Ультиматум
3,creat,87,Форум
4,unst,129,Эмси-Эмси
5,stab,130,Столичные лобстеры
6,unst,133,Дети капитана Врунгеля
7,unst,141,Глюк
8,creat,153,Едва
9,tech,185,Гимназисты
10,stab,189,Сигма
11,tech,204,Мания Величия
12,tech,205,БН
13,tech,222,Меня целовал Ельцин
14,tech,227,Каррамба
15,creat,239,Брейнозавры
16,creat,245,Айастан
17,tech,261,Хохма
18,tech,263,Вспомнить всё
19,tech,270,Синоп
20,tech,286,Пробка
21,tech,294,Absolut
22,tech,299,Команда Гусейнова
23,unst,316,Минус один
24,tech,317,Авось
25,tech,336,Чудо в перьях
26,tech,338,Энергия
27,tech,353,Второе дыхание
28,creat,404,"38,8"
29,tech,405,Зелёный трамвай
30,tech,407,Тачанка
31,tech,408,Логос-Альфа
32,tech,416,Потанинцы
33,creat,420,Удача
34,tech,477,Архимед
35,tech,493,Beit Grand - Аборигены
36,unst,550,Шанс
37,creat,552,Дуплет
38,tech,559,Интер
39,tech,575,Летающий цирк
40,tech,590,Святой листок
41,tech,641,Братья
42,stab,667,Северный олень
43,tech,671,VIP
44,tech,673,МГТУ
45,unst,766,Северная корона
46,creat,767,Томатный сок
47,tech,798,M&B
48,creat,856,Каспиана
49,tech,883,7Х
50,unst,928,ОМ
51,unst,943,Яблоко
52,tech,1021,Интермедия
53,tech,1030,Сборная Бутана
54,tech,1067,Капитанская дочка
55,tech,1072,Пластилиновый Хуги
56,stab,1087,Мамонты
57,creat,1108,Команда
58,tech,1130,Чайники
59,tech,1223,Ва-банк
60,tech,1392,28-я проблема Гильберта
61,tech,1462,От Винта - Резюме
62,tech,1470,От Винта - Zodiak
63,tech,1510,Шулер
64,weak,1534,От Винта - Ветер из будущего
65,tech,1540,Вологда
66,tech,1642,Инфи. Ёжики
67,unst,1733,Суббота 13
68,tech,1752,5 елемент
69,unst,1952,Дилетанты
70,tech,1955,Феникс
71,tech,2000,Спартак
72,tech,2040,Три Икса
73,tech,2051,Напряжены у всех на глазах
74,tech,2055,ForУМ
75,tech,2059,Dixi
76,tech,2076,РИФ
77,tech,2096,Автопилот
78,tech,2108,Руна
79,tech,2111,Арзамас-2004
80,stab,2115,Пси-фактор
81,creat,2239,Астра
82,tech,2283,Розовый слон
83,tech,2308,Бункер
84,stab,2318,Алтын Асыр
85,tech,2345,Два капитана
86,unst,2376,Мы
87,tech,2377,Семь пядей
88,tech,2416,Ромашка
89,tech,2421,МММ
90,tech,2462,Мы
91,tech,2469,Puzzle
92,creat,2539,Банановая кожура
93,tech,2598,Вкруже
94,tech,2611,МГ-9
95,tech,2673,Британские учёные
96,tech,2742,СКИТ Forever
97,tech,2757,Город утраТ
98,stab,2765,Оазис
99,tech,2792,Кентавры Кронекера
100,tech,2826,6 из 45
101,tech,2842,Корпорация монстров
102,creat,2855,Оберон
103,tech,2859,La Terna
104,stab,2876,Кедр
105,tech,2909,Мистерия
106,tech,2919,Чёрный мерин
107,creat,2937,Поддержка с воздуха
108,unst,3071,Мы
109,tech,3146,Авось
110,tech,3150,Гелиос
111,creat,3154,Основной инстинкт
112,tech,3156,Команда Антона Мигая
113,unst,3164,E=mc^2
114,tech,3166,Понты Пилата
115,stab,3168,Физматрица
116,tech,3173,Пуззли
117,tech,3185,ШТАБ.LV
118,tech,3198,Потом придумаем
119,tech,3213,Дикие бозоны Хиггса
120,tech,3219,MIX
121,tech,3425,Бронепоезд из Ромашково
122,unst,3465,Команда Алхазова
123,creat,3476,Псевдопептиды
124,tech,3500,Не подарок
125,stab,3522,Primus inter pares
126,tech,3602,42
127,tech,3630,Alter orbis
128,tech,3639,Захидный полюс
129,tech,3694,Эльфы
130,stab,3730,Фаг лямбда
131,tech,3948,Нормальные герои
132,tech,3950,Мы-6
133,creat,3985,Курортный роман
134,stab,3993,Международец
135,tech,3994,Чердак
136,unst,4000,Збых
137,tech,4003,СО14
138,tech,4011,Гладиолус
139,tech,4032,X-promt
140,stab,4042,Легион
141,creat,4050,Лузеро
142,tech,4107,Антарес
143,tech,4109,"Они не знают, когда остановиться: много-много вани"
144,tech,4130,Как-то так
145,tech,4146,Пи квадрат
146,tech,4153,Сальвадор вДали
147,tech,4156,7Hz
148,tech,4174,Центровые
149,tech,4223,Ё++
150,tech,4228,Выпь
151,tech,4237,Градус
152,stab,4246,Слово и дело
153,tech,4252,Ять
154,unst,4313,Black Label
155,tech,4405,Эдельвейс
156,tech,4621,Ливония
157,tech,4622,Спонсора.net
158,tech,4631,Animals
159,tech,4660,Эврика
160,creat,4705,9 Вал
161,tech,4728,Браво руля!
162,tech,4751,Кот да Винчи
163,unst,4753,Синдром игры
164,unst,4795,Большая Берта
165,tech,4851,Отнюдь
166,tech,4854,Какая разница?
167,unst,4869,Птица-говорун
168,tech,4891,От Винта - Габитус
169,stab,4892,Примус
170,tech,4905,Классика
171,tech,4957,Особое мнение
172,tech,4975,Фикус
173,tech,4985,Neo
174,tech,4988,Ход конём
175,tech,4989,Штандарт
176,tech,5086,Стрела
177,tech,5104,Дао
178,tech,5127,Братья КарамазЛовы
179,tech,5142,Арокс и Штёр
180,stab,5205,Мафия
181,tech,5302,Полёт батискафа
182,stab,5350,Импульс
183,tech,5366,23 красное
184,creat,5369,Друзья
185,tech,5370,Стратиг
186,unst,5379,Джеронимо!
187,tech,5384,Альтернатива
188,tech,5397,Ворона и Медведы
189,tech,5416,Aspers
190,creat,5427,Оттуда
191,unst,5444,Эйфью
192,tech,5517,Non-Sense
193,tech,5521,Н.И.Ш.А.
194,tech,5537,ТТМ
195,tech,5591,КЕБиК
196,stab,5613,Синяя ветка
197,tech,5667,Не придумали
198,tech,5668,Радиан+
199,tech,5694,ЗАО Дно
200,tech,5708,Второй фронт
201,tech,5723,Мантисса
202,creat,5774,От Винта - Квартира №7
203,tech,5898,Тангородрим
204,tech,5908,Альдебараны
205,stab,5927,Весёлый боцман
206,tech,5975,Total
207,tech,5985,Кот и компания
208,tech,6055,ДНК
209,tech,6074,Brainstorm
210,tech,6143,Фракталы
211,tech,6145,Акулы интернета
212,tech,6150,Скифы
213,stab,6156,Город Счастья - Город Канта
214,creat,6178,Карт бланш
215,tech,6198,Gambler
216,tech,6260,Dream Team
217,creat,6347,Круазе
218,creat,6364,Акулы пера
219,unst,6387,Клевер
220,creat,6426,Гвоздь
221,tech,6432,Зима далеко!
222,tech,6451,Шесть без козыря
223,stab,6462,Зачёт
224,tech,6488,Нелюди в белом
225,unst,6494,ЧТД
226,tech,6506,Агдам
227,tech,6513,Terra Incognita
228,tech,6562,Авалон
229,tech,6651,Жрецы Хамона
230,tech,6683,С потолка
231,creat,6688,Братья КарамазЛовы 2
232,tech,6730,Клан КП
233,tech,6790,Тёмный лес
234,unst,6855,Несомненный скрамасакс
235,tech,6856,Зубы Суареса
236,unst,6908,Команда имени Великого Шушпанчика
237,unst,6936,Олег Мышь
238,tech,6964,ЗаПущинная наука
239,tech,6967,Комментарии Асгарда
240,unst,6987,Ктулху
241,unst,7015,Няхай!
242,tech,7057,Мы не пьём!
243,tech,7153,MD5
244,tech,7233,СМИ
245,tech,7244,Утомлённые
246,creat,7428,Знать!
247,tech,7567,ЁПРСТейка
248,tech,7579,МПЗТ
249,tech,7592,"Это мы, опилки!"
250,tech,7718,Биркиркара
251,tech,7844,Ситхи Иеговы
252,creat,7864,Одушевлённые аэросани
253,creat,7894,Мыс Li
254,unst,7896,По фигу
255,tech,7931,Лимонад
256,tech,7939,Дежавю
257,creat,7973,Родео
258,tech,7980,ХЗ
259,tech,7987,Арсенал
260,tech,8015,Атараксия
261,tech,8034,Махнёмся кристаллами
262,tech,8137,Фиасско
263,unst,8144,Чем не пионы?
264,unst,8148,6 LITroff
265,tech,8327,Drakony Jmovirnosti
266,unst,8328,Finntrolls
267,creat,8329,Песиголовцы
268,tech,8340,До-мажор
269,tech,8424,Виталия
270,stab,8425,Светлые головы
271,tech,8446,Фардыбаки
272,stab,8632,Феникс
273,creat,8647,Разрез-1
274,creat,8649,РМЗ
275,stab,8654,Ъжслое потрачено
276,tech,8663,КВВК
277,tech,8723,Дети Эйлера
278,tech,8809,Испанская инквизиция
279,creat,8830,Импулит
280,tech,8900,Хурма
281,tech,10364,Дядька Petrick
282,creat,10401,Ёлки на горке
283,tech,10411,Команда Евгения Волконского
284,tech,26660,Лыжню!
285,unst,26705,Вагон героев
286,creat,26706,Каскадёры
287,tech,26768,IQM
288,tech,26789,Флагман
289,tech,26936,Непотерянное поколение
290,stab,27021,Клюква
291,tech,27089,Фордевинд
292,tech,27130,Тануна Х
293,unst,27161,Хохлома
294,tech,27171,Белый шум
295,tech,27177,Призраки Коши
296,tech,27186,Альянс
297,tech,27190,Эксгумация
298,stab,27193,Дубль два
299,stab,27194,LASты
300,tech,27219,Детский сад
301,tech,27260,Герцоги мира
302,tech,27285,Команда имени Фета
303,tech,27313,Безумное чаепитие
304,tech,27392,Сборная Бразилии
305,tech,27471,ППП
306,tech,27477,Дизель
307,tech,27481,Фактор
308,tech,27522,Жареные гвозди
309,tech,27610,Абырвалг
310,stab,27656,Ереван-82
311,unst,27684,Дорогой Мартин Алексеевич
312,tech,27766,Дурь
313,tech,27815,Сделанные в СССР
314,tech,28103,Бодрячком
315,tech,28216,Была не была
316,tech,28217,Выше плинтуса
317,tech,28369,Наобум
318,tech,28391,Нанотролли
319,tech,28397,Палата №3
320,stab,28458,Nabucodonosor
321,tech,28471,Иероглиф
322,creat,28474,Сфинкс
323,tech,28548,Дануна
324,creat,28587,Пахтакор
325,tech,28599,Такие дела
326,creat,28642,От Винта - Zoodiak
327,stab,28748,Команда
328,tech,29790,Черкасское FIDO
329,tech,35826,18+
330,creat,37492,Проект Церебро
331,tech,37639,Тупо вата
332,tech,37658,Шестая палата
333,tech,37671,Wasabi
334,tech,37699,Ёжики в тумане
335,creat,37728,Лангольеры
336,tech,37731,Любовь
337,unst,37736,Наобум
338,tech,37760,Слон потрогает тебя
339,stab,37770,ТВИТЛЮ
340,tech,37782,Фламинго
341,creat,37797,Эрудит
342,tech,38011,Имитируем сарказм
343,unst,38035,Логичная логика
344,stab,38079,Револьвер
345,tech,38145,Каспий
346,unst,38164,МГТУ - Фабрика мыслей
347,tech,38189,Когито
348,tech,38248,SOS
349,tech,38274,Совет Джедаев
350,stab,38317,EcoSapiens
351,stab,38322,ХЗИВ
352,unst,38429,Команда пьёт
353,tech,38537,Сократис
354,tech,38598,Сборная Денвера
355,tech,38626,Методом тыка
356,tech,38646,Гугол скифов
357,tech,38682,Ведуны
358,tech,38693,Аркашина каша
359,unst,38722,Хайвмайнд
360,creat,38723,XXX
361,tech,38944,Joker
362,tech,38960,Наномозги
363,tech,38988,Vendetta
364,tech,38989,Сила мысли
365,stab,38993,V for Vinishko
366,tech,39018,Вова и медведь
367,unst,39110,Ветер удачи
368,tech,39152,На своей волне
369,tech,39258,Британские учёные
370,tech,39293,Весёлые грибы
371,creat,39349,Ка-Тет
372,creat,39408,Аурум
373,tech,39427,Из Ахтырки с любовью
374,tech,39433,Машина времени
375,tech,39470,Тётеньки
376,weak,39476,Чайники
377,tech,39477,Чёрный квадрат
378,tech,39599,Вшестером
379,creat,39893,Billie Bob Top
380,unst,39997,Эталон этанола
381,creat,40026,ЛУК
382,unst,40034,Палеография
383,tech,40038,Прометей
384,stab,40086,Oldschool
385,tech,40150,Ума не надо
386,tech,40173,Самая умная команда интеллектуалов
387,tech,40190,Клинический случай
388,tech,40207,Тестеры Тьюринга
389,tech,40211,Старый Добрый Гусь
390,tech,40221,Конь-буквоед
391,tech,40245,Бурда
392,creat,40247,Эти две и йети
393,tech,40348,Горячие головы
394,tech,40400,Совхоз Победа
395,tech,40904,Кьяроскуро
396,tech,40931,Здоровенный Я
397,tech,40952,Мальчики мадам Ивановой
398,unst,41017,Снукер
399,tech,41047,Комочки в кефире
400,stab,41257,Троллейбус №42
