,type,team_id,current_name
0,stab,4988,Ход конём
1,stab,4989,Штандарт
2,stab,38011,Имитируем сарказм
3,stab,41350,Охладите бутылку
4,stab,42608,Баррикадное мышление
5,tech,43127,Green street
6,stab,43300,Мамонтлошечка
7,stab,43456,Тут вам не там
8,stab,44543,Аднавокая зьмяя
9,tech,48428,И тебя тоже
10,tech,49945,МММ
11,tech,50348,Орден Феликса
12,stab,50905,Крамбамбуля
13,tech,51597,"Саша, вынеси мусор!"
14,stab,51776,Человеки из Кемерова
15,tech,52675,И пусть никто не уйдёт обиженный
16,stab,52781,Глокая куздра
17,stab,54380,42 градуса по Фаренгейту
18,stab,54622,Медовуха
19,stab,55815,Бархатный БесСазон
20,stab,56405,Даша с нами
21,stab,56728,Огого команда
22,stab,58321,Пятое колено
23,tech,58832,Тильтонский орден
24,stab,59594,Мицубатикадзе
25,tech,60717,Ежу понятно
26,stab,61973,Адмирал Балтика
27,tech,61974,На Ниссане в Роттердам
28,stab,61975,Червень United
