,type,team_id,current_name
0,stab,7710,Не забуду танковую школу
1,tech,41047,Комочки в кефире
2,stab,44167,Felix Felicis
3,tech,44830,Клуб арахнологов
4,tech,45438,Верный вомбат
5,tech,48118,Джойс Дивижн
6,tech,48502,Боль
7,stab,49515,Бремя ответа
8,creat,51677,All-In
9,tech,52175,Сборная Вышки
10,unst,52176,Средняя школа экономики
11,stab,55219,Бобры
12,creat,55282,Команда памяти сгоревшего сентября
13,stab,55526,Ор переменной национальности
14,stab,55836,Доктор Август
15,stab,56018,ВШЭстером
16,stab,56167,Alfa Teamo
17,tech,56423,Всем всё равно
18,stab,58612,Эффект пупсика
19,unst,59419,Кудрявчик и Вахривка
20,unst,59478,City of tatars
21,tech,59497,"Сколько нужно Серёж, чтобы вкрутить лампочку"
22,tech,59710,Фикловский парк
23,creat,59730,Мельпоменча
24,tech,59814,Все хотят
25,creat,59817,Иван Андреевич шутит
26,creat,61111,Оператор императора
27,creat,61114,Как закалялась северсталь
28,tech,61172,Six ist
29,stab,61191,Белорыбица
30,unst,61220,Клюковка
31,stab,61233,Dimon
