,type,team_id,current_name
0,tech,481,Не вопрос
1,creat,1165,АМО-Натюрлих
2,creat,1183,Умник
3,unst,2824,Саветум
4,tech,37923,С блэк-джеком
5,creat,38317,EcoSapiens
6,tech,38322,ХЗИВ
7,tech,40221,Конь-буквоед
8,unst,43532,Стальная ложка
9,tech,44029,Добрый аваль
10,tech,44729,317 кВт
11,tech,44731,Падшие редуцированные
12,tech,45690,Бледность Ленина
13,unst,48392,Абсурдоперевод
14,unst,48545,149
15,unst,48546,Вау! Сигнал
16,tech,51776,Человеки из Кемерова
17,creat,51777,Учись упорно
18,tech,54380,42 градуса по Фаренгейту
19,stab,55812,Непонятно
20,tech,57146,ШуфляДКа
21,creat,57824,Джин Толик
22,stab,58832,Пегги и дудочник
23,tech,59197,Севрюга по 42
24,tech,59481,Пан Кокосан
25,stab,59840,Нарды при свече
26,tech,59841,Декаданс
27,tech,60920,Крокодилы ходят лёжа
28,unst,60922,Sad boeing
