,type,team_id,current_name
0,tech,47,Снарк
1,tech,216,Инк
2,tech,308,Номер 6
3,tech,358,43
4,unst,414,Кошка или сова
5,stab,670,Ксеп
6,creat,761,ЭПТ
7,tech,1462,От Винта - Резюме
8,tech,1470,От Винта - Zodiak
9,unst,1510,Шулер
10,tech,1866,Левый берег
11,unst,2792,Кентавры Кронекера
12,creat,3166,Понты Пилата
13,creat,3310,РЗПТ
14,tech,3465,Команда Алхазова
15,tech,3880,Ан-Ти
16,stab,4649,Берлитанты
17,tech,4718,Inside
18,tech,5444,Эйфью
19,stab,5858,DimTeam
20,tech,6198,Gambler
21,tech,6784,ДК им. Заратустры
22,unst,6967,Комментарии Асгарда
23,unst,7864,Одушевлённые аэросани
24,tech,7896,По фигу
25,creat,8327,Drakony Jmovirnosti
26,tech,8328,Finntrolls
27,creat,8329,Песиголовцы
28,creat,10411,Команда Евгения Волконского
29,tech,26956,"Мальчик, который выпил"
30,creat,27130,Тануна Х
31,unst,27260,Герцоги мира
32,tech,27522,Жареные гвозди
33,unst,27684,Brain Art
34,stab,37690,Вперёд
35,tech,37782,Фламинго
36,creat,37797,Эрудит
37,tech,38693,Аркашина каша
38,stab,38993,V for Vinishko
39,tech,40195,White and nerdy
40,stab,41017,Снукер
41,creat,41350,Расспроси у футуриста
42,tech,41366,Гидрою контры убит Чаушеску
43,stab,42048,Алёнка
44,tech,42453,359
45,creat,42538,Волшебные звёзды 7
46,tech,43001,Солнечный круг
47,tech,43002,Опережая мысли
48,stab,43422,Невидаль
49,unst,43521,Барышни и хулиганы
50,stab,44731,Падшие редуцированные
51,creat,45174,София
52,stab,45365,Бахус  crew
53,tech,45551,Станочницы
54,stab,46627,Починяем примус
55,creat,47075,Оператор Дамблдора
56,stab,47243,Funtrim
57,tech,47248,Ньюфаундленд
58,creat,47297,МГТУ - Микст
59,tech,48062,Уже да
60,stab,48913,Команда Никиты Роенко
61,unst,48942,Пушные спесцы
62,tech,49636,Художественный университет
63,stab,49749,"Василий Тёркин, или Туда-сюда"
64,stab,49804,Борский корабел
65,stab,49888,Палладины
66,tech,50000,Алые паруса
67,tech,50186,Подозрительные пассажиры
68,tech,50319,Городок
69,unst,50821,Собакусъел
70,creat,50823,Зайки мои
71,tech,51228,Ва-банк
72,weak,51237,Грациозный лось
73,unst,51276,Жжёный хлебушек
74,stab,51290,Каисса
75,creat,51402,Альянс света
76,tech,51508,Кузнецы счастья
77,tech,51510,Титаник
78,stab,51630,Белые воротнички
79,stab,51641,"Hi, doggy"
80,tech,51654,РЛМ
81,tech,51796,Заливная
82,tech,52250,Сверхновая
83,tech,52275,Предпоследние
84,tech,52969,Pro forma
85,unst,53714,Постмодернистское название
86,tech,53877,Бешеная ладья
87,stab,54884,Лама
88,tech,55098,Наш вариант лучше
89,tech,55189,MW
90,tech,55200,Люберецкие карлицы
91,tech,55257,Timmy
92,tech,55813,Техно Ложка
93,unst,55924,Мятый всадник Апокалипсиса
94,tech,56327,Бескомпромиссный подпольный эксперт
95,stab,56925,Масоны-рептилоиды
96,tech,57404,Невыносимая лёгкость
97,tech,57997,Формула Сенчи
98,tech,58040,Дабл
99,stab,58332,Барселона
100,stab,58742,Команданте Алигьери
101,tech,58832,Пегги и дудочник
102,tech,58841,Оумуа муа
103,tech,58865,Cherchez la Panda
104,tech,59082,Терпение и труд всё
105,weak,59098,Креативщики и Якорь
106,stab,59102,ЧГК-шки ниндзя
107,creat,59514,Клёк
108,weak,59604,В команде есть мякиш
109,stab,59641,Восточное экспрессо
110,stab,60319,"Миша, Паша и Андрей"
111,tech,60432,шщзшщзшщзшщзшщ
112,tech,60574,Пернатонога Кукумявка
113,stab,60630,Игорю не нравится
114,weak,60871,4 брата
115,stab,61664,Вроде бы
116,stab,61711,Содроганье Астарты
117,tech,61737,Хепле-Пепле
118,tech,61738,Право на лево
119,tech,61760,"Ёжики, Ёжики, Ёжики, Ё"
120,stab,61763,Синхронный синдром
121,tech,61772,Порги-культ
122,unst,61773,Ураган Харви Вайнштейн
123,stab,61774,Два доктора
124,stab,61783,Один в туре
125,unst,61790,Спонтанное название
126,creat,61792,Кай и Герда
127,weak,61793,Борода Абдель-Кадера
128,creat,61795,Разнотравие
129,tech,61804,Алевтина манит негра
130,weak,61897,Аэрокомплект
