,type,team_id,current_name
0,weak,1921,Дружба
1,stab,2051,Напряжены у всех на глазах
2,creat,2192,Тридцатиногая сороконожка
3,creat,2826,6 из 45
4,creat,2855,Оберон
5,stab,5384,Альтернатива
6,tech,8809,Мусорок и семь сорок
7,unst,26835,Думать нас полнит
8,weak,40328,Восьмёрочка
9,stab,42538,Волшебные звёзды 7
10,stab,45803,Дикий запад
11,unst,46028,Почти не думаем
12,tech,46188,Пионеры
13,tech,46274,Хемингуэй жив
14,unst,48617,Сейлор Мунк
15,tech,48625,Плотина Канделаки
16,stab,50319,Городок
17,stab,50717,Безвольная борьба
18,stab,51059,Сибирская язва
19,tech,51290,Каисса
20,tech,51759,Сталин печёт блины
21,tech,52250,Сверхновая
22,weak,52940,Неестественный отбор
23,stab,53553,Дринк Тим
24,tech,54373,Апсны
25,stab,55283,Пахлава глупости
26,creat,55924,Мятый всадник Апокалипсиса
27,stab,58247,40 градусов
28,tech,59419,Кудрявчик и Вахривка
29,stab,59420,Полураспад лития
30,tech,59421,Тулупов 20!8
31,tech,59422,Таршиш
32,tech,59488,Арьергард в опасности
33,tech,59518,Неопровержимые улитки
34,weak,59520,"Думай, побеждай"
35,weak,59521,Пикник на обочине
